Date,Primary Type,Description,Location Description,Arrest,Domestic,Beat,FBI Code,X Coordinate,Y Coordinate,Year,Location
01/01/2017 01:00:00 AM,BATTERY,SIMPLE,BAR OR TAVERN,True,False,1824,08B,nan,nan,2017,nan
01/01/2017 01:23:00 AM,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,613,24,nan,nan,2017,nan
01/01/2017 12:01:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,314,14,nan,nan,2017,nan
01/01/2017 12:00:00 AM,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,324,14,nan,nan,2017,nan
01/01/2017 12:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,722,08B,nan,nan,2017,nan
01/01/2017 12:00:00 AM,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,True,False,1923,26,nan,nan,2017,nan
01/01/2017 12:22:00 AM,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,True,False,1722,04B,nan,nan,2017,nan
01/01/2017 01:20:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1112,14,nan,nan,2017,nan
01/01/2017 01:15:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,824,08B,nan,nan,2017,nan
01/01/2017 12:35:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,612,14,nan,nan,2017,nan
01/01/2017 12:18:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,831,14,nan,nan,2017,nan
01/01/2017 01:20:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,832,14,nan,nan,2017,nan
01/01/2017 01:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,True,True,1034,08B,nan,nan,2017,nan
01/01/2017 12:24:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,834,14,nan,nan,2017,nan
01/01/2017 01:40:00 AM,THEFT,RETAIL THEFT,COMMERCIAL / BUSINESS OFFICE,False,False,211,06,nan,nan,2017,nan
01/01/2017 12:13:00 AM,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2524,14,nan,nan,2017,nan
01/01/2017 12:50:00 AM,THEFT,$500 AND UNDER,RESIDENCE,False,False,512,06,nan,nan,2017,nan
01/01/2017 12:36:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,2534,08B,nan,nan,2017,nan
01/01/2017 12:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1811,08B,nan,nan,2017,nan
01/01/2017 12:50:00 AM,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),False,False,2522,14,nan,nan,2017,nan
01/01/2017 01:30:00 AM,BATTERY,SIMPLE,BAR OR TAVERN,False,False,2522,08B,nan,nan,2017,nan
01/01/2017 02:00:00 AM,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1431,06,nan,nan,2017,nan
01/01/2017 01:10:00 AM,OTHER OFFENSE,PAROLE VIOLATION,STREET,True,False,611,26,nan,nan,2017,nan
01/01/2017 01:37:00 AM,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,False,False,713,14,nan,nan,2017,nan
01/01/2017 12:57:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,712,08B,nan,nan,2017,nan
01/01/2017 12:41:00 AM,BATTERY,SIMPLE,STREET,False,False,1922,08B,nan,nan,2017,nan
01/01/2017 12:35:00 AM,CRIMINAL DAMAGE,TO PROPERTY,BAR OR TAVERN,True,False,123,14,nan,nan,2017,nan
01/01/2017 01:00:00 AM,THEFT,FROM BUILDING,BAR OR TAVERN,False,False,1935,06,nan,nan,2017,nan
01/01/2017 01:10:00 AM,BATTERY,SIMPLE,SIDEWALK,True,False,1924,08B,nan,nan,2017,nan
01/01/2017 01:49:00 AM,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,831,26,nan,nan,2017,nan
01/01/2017 12:41:00 AM,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,False,False,1014,15,nan,nan,2017,nan
01/01/2017 12:05:00 AM,THEFT,OVER $500,STREET,False,False,1213,06,nan,nan,2017,nan
01/01/2017 12:05:00 AM,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,False,False,1213,11,nan,nan,2017,nan
01/01/2017 01:54:00 AM,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,False,False,1632,15,nan,nan,2017,nan
01/01/2017 12:10:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,False,True,1834,08B,nan,nan,2017,nan
01/01/2017 01:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,False,1213,06,nan,nan,2017,nan
01/01/2017 02:00:00 AM,THEFT,FROM BUILDING,RESIDENCE,False,False,2213,06,nan,nan,2017,nan
01/01/2017 02:25:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,1121,08B,nan,nan,2017,nan
01/01/2017 02:44:00 AM,BATTERY,SIMPLE,CTA BUS,False,False,312,08B,nan,nan,2017,nan
01/01/2017 12:10:00 AM,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,1223,03,nan,nan,2017,nan
01/01/2017 12:42:00 AM,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,1224,08B,nan,nan,2017,nan
01/01/2017 12:45:00 AM,ASSAULT,SIMPLE,RESIDENCE,False,False,2031,08A,nan,nan,2017,nan
01/01/2017 01:25:00 AM,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,True,True,432,04B,nan,nan,2017,nan
01/01/2017 01:00:00 AM,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,413,08B,nan,nan,2017,nan
